model_name,n_cross,mean_auc,mean_kappa,mean_tss,auc,kappa,tss
model_global,5,0.76,0.23,0.4,0.76,0.38,0.4
model_pulse_1,5,0.78,0.18,0.63,0.84,0.47,0.73
model_pulse_2,5,0.82,0.27,0.64,0.89,0.37,0.75
