prop_cells,n_patches,patch_area_mean,patch_area_sd,mean_nearest_neighbour,patch_cohesion,start_bp,end_bp
0.1347510254321528,1659,693.7667436489608,11508.48017099159,5.165620356833648,99.68530371904147,13.1,13.0
0.19130791493667978,1670,1178.1312154696132,22063.38008613101,5.772103630025557,99.84406816617503,13.2,13.1
0.1412779504275774,1448,988.8587127158555,11447.022808903355,5.92819940640353,99.6807970818143,13.3,13.2
0.10482756053010267,1285,773.816225165563,8720.084704941892,4.693991998356923,99.57349093293334,13.4,13.3
0.09120761457387597,1239,598.0279411764706,9651.334553797275,4.654829637597045,99.65935952792535,13.5,13.4
0.09189460028780283,1252,578.7033898305085,9069.701717492608,5.150059972856541,99.6340662679127,13.6,13.5
0.09604163451911449,1165,645.870286576169,9426.975527038278,5.2640474126799965,99.61799998517297,13.7,13.6
0.08896610780763861,1147,603.751902587519,8657.089844224547,4.884271699696029,99.57896689894771,13.8,13.7
0.08525777552096978,1050,733.8436293436293,9872.325304871734,5.447654792190766,99.62391408852383,13.9,13.8
0.05693010015682025,835,569.1233183856502,6157.347247685372,4.983128208445316,99.33880918859698,14.0,13.9
0.08266638376820748,1099,645.4938704028021,8961.979987872799,4.772167139507896,99.5675724460578,14.1,14.0
0.11614947983765336,1254,886.7551369863014,11218.24787580757,5.327648374205913,99.66615234332778,14.2,14.1
0.31638327477993133,2258,1356.3740384615385,40205.9378686948,5.8541293229204125,99.92055866479329,14.3,14.2
0.288573698338136,1090,1752.9114441416893,37553.0716200046,4.203818115415041,99.8524980787504,14.4,14.3
0.3781081449636299,1409,2117.884422110553,57373.87952934907,4.097395043507725,99.91753991040933,14.5,14.4
0.5250374107793284,1994,2875.842751842752,79287.22434228544,4.171349854564612,99.9632318239961,14.6,14.5
0.1656288240634745,1093,1666.984198645598,22007.36560137127,5.014140451360042,99.80189175803757,14.7,14.6
0.0697524877719683,771,805.6968911917099,7705.7858780785955,4.498157864306388,99.39324323208366,14.8,14.7
0.024151259765379688,246,861.4480000000001,6940.031305655895,6.16687540968801,99.25671391392227,14.9,14.8
0.025875789035501664,269,795.655172413793,6917.352987414363,4.948908754640622,99.24574687661892,15.0,14.9
0.024104159863347484,223,859.768,7118.491602561735,6.118590793311365,99.24887485365387,15.1,15.0
