Model,Time-Window,Prop. cells suitable,Number of Patches,Mean Patch Area (km2),Std. Dev. Patch Area (km2),Mean Dist to neares neighbour (km),Patch Cohesion
Global,14.5k-14.1k BP,0.5143549287131769,2292,2416.551106427819,71357.93208756157,5.012057740447755,99.95888160937497
Pulse 1,14.5k-14.3k BP,0.2906826525229399,2464,879.8642226748134,29554.73854301003,3.9074890746432343,99.88282750667139
Pulse 2,14.2k-14.1k BP,0.19795595396590146,1825,738.5841004184101,16027.941562018887,5.659557355025384,99.62756191937012
